kepoi_name,disposition,period,time0bk,duration,depth,ingress,impact,kepid
K00140.01,FALSE POSITIVE,19.978478,137.175700,8.749100,1499.000000,0.000000,0.914000,5130369
K00141.01,CANDIDATE,2.624234,132.304380,1.421900,2616.000000,0.000000,0.828000,12105051
K00142.01,CONFIRMED,10.916386,133.019050,3.451100,1457.000000,0.000000,0.380000,5446285
K00142.02,FALSE POSITIVE,339.429341,187.519491,7.500000,355.324000,0.126984,0.100000,5446285
K00143.01,FALSE POSITIVE,22.651197,140.336380,3.491700,2330.000000,0.000000,0.931000,4649305
K00144.01,CANDIDATE,4.176260,133.089480,3.621000,1363.000000,0.000000,0.596000,4180280
K00145.01,CANDIDATE,102.966700,158.068100,14.738200,1800.000000,0.000000,0.850000,9904059
K00146.01,FALSE POSITIVE,8.667824,137.340800,4.194000,2649.000000,0.000000,0.980000,9048161
K00147.01,FALSE POSITIVE,145.563060,146.055500,5.459000,3594.000000,0.000000,1.270000,1996679
K00148.01,CONFIRMED,4.777981,124.063000,3.582000,520.000000,0.000000,0.675000,5735762
K00148.02,CONFIRMED,9.673928,125.339810,4.400000,1091.000000,0.000000,0.712000,5735762
K00148.03,CONFIRMED,42.895920,146.065700,7.464000,629.000000,0.000000,0.671000,5735762
K00149.01,CANDIDATE,14.557339,145.094300,7.764800,962.000000,0.000000,0.070000,3835670
K00150.01,CONFIRMED,8.408916,134.004200,3.596400,805.000000,0.000000,0.734000,7626506
K00150.02,CONFIRMED,28.574140,143.832200,5.189900,851.000000,0.000000,0.762000,7626506
K00151.01,CANDIDATE,13.447247,132.828200,3.233700,1426.000000,0.000000,0.976000,2307199
K00152.01,CONFIRMED,52.091100,158.742250,8.631500,2977.000000,0.000000,0.068000,8394721
K00152.02,CONFIRMED,27.402200,133.629330,6.818900,776.000000,0.000000,0.012900,8394721
K00152.03,CONFIRMED,13.484580,136.617000,5.035300,678.000000,0.000000,0.360000,8394721
K00152.04,CONFIRMED,81.063200,139.541300,3.770600,468.000000,0.000000,0.950000,8394721
K00153.01,CONFIRMED,8.925113,139.712180,2.766700,977.000000,0.000000,0.833000,12252424
K00153.02,CONFIRMED,4.753994,128.546740,2.596800,765.000000,0.000000,0.750000,12252424
K00154.01,FALSE POSITIVE,30.009090,139.706000,3.150100,63.000000,0.000000,0.740000,9970525
K00155.01,CANDIDATE,5.660691,137.413940,4.708000,745.000000,0.000000,0.663000,8030148
K00156.01,CONFIRMED,8.041317,143.039000,2.648700,550.000000,0.000000,0.650000,10925104
K00156.02,CONFIRMED,5.188548,145.363500,2.491400,320.000000,0.000000,0.540000,10925104
K00156.03,CONFIRMED,11.776147,142.704410,2.926100,1328.000000,0.000000,0.690000,10925104
K00157.01,CONFIRMED,13.024877,138.177900,4.431300,739.000000,0.000000,0.080000,6541920
K00157.02,CONFIRMED,22.687123,148.454800,5.353300,914.000000,0.000000,0.060000,6541920
K00157.03,CONFIRMED,31.995467,154.161050,4.274800,1343.000000,0.000000,0.735000,6541920
K00157.04,CONFIRMED,46.686410,225.035500,6.448400,518.000000,0.000000,0.310000,6541920
K00157.05,CONFIRMED,118.378150,287.289400,9.305400,1021.000000,0.000000,0.050000,6541920
K00157.06,CONFIRMED,10.303995,138.503600,4.028400,260.000000,0.000000,0.150000,6541920
K00158.01,FALSE POSITIVE,5.801831,137.575810,3.678400,656.000000,0.000000,0.910000,10555375
K00159.01,CONFIRMED,8.990916,136.736300,4.166800,465.000000,0.000000,0.731000,8972058
K00159.02,CONFIRMED,2.403654,134.727800,1.407400,79.000000,0.000000,0.941000,8972058
K00160.01,FALSE POSITIVE,13.738108,134.436400,2.922600,689.000000,0.000000,0.960000,6631721
K00161.01,CANDIDATE,3.105509,133.209470,1.744000,894.000000,0.000000,0.800000,5084942
K00162.01,CANDIDATE,14.006406,142.208300,4.669700,705.000000,0.000000,0.280000,8107380
K00163.01,FALSE POSITIVE,11.119888,139.752600,3.304500,655.000000,0.000000,0.680000,6851425
K00164.01,FALSE POSITIVE,4.464548,132.315100,3.031200,265.000000,0.000000,0.030000,5652237
K00165.01,CANDIDATE,13.221780,139.569600,2.918000,892.000000,0.000000,0.820000,9527915
K00166.01,CANDIDATE,12.493311,138.464000,2.271600,737.000000,0.000000,0.610000,2441495
K00167.01,CANDIDATE,4.919576,134.601900,4.228400,426.000000,0.000000,0.586000,11666881
K00168.01,CONFIRMED,10.742447,133.287100,6.212300,411.000000,0.000000,0.000000,11512246
K00168.02,CONFIRMED,15.274480,147.578800,6.754000,236.000000,0.000000,0.241000,11512246
